mackerel	0.122646,0.0780793,0.117114,-0.0244212,-0.0862064,-0.21205,0.206751,-0.092179,-0.000935943,0.0903169,0.297804,0.143193,0.157059,-0.21377,0.227402,0.177897,-0.0404373,-0.0345704,0.131072,0.11502,0.278985,0.195489,-0.0651079,0.0868,-0.0744469,-0.0588613,0.195255,0.0166477,0.0124332,-0.0575962,0.0530195,0.0336163,-0.240414,-0.0556946,-0.187671,0.0184943,-0.120651,0.0466607,-0.102258,0.198551,-0.0471543,0.40433,0.0215334,-0.151561,0.0446653,-0.0594432,0.0172751,0.0293797,-0.0924656,-0.0805939
yellow	0.275841,0.0212223,0.000670884,-0.130302,0.172789,-0.101393,-0.00756476,-0.0615499,-0.14531,-0.0571648,0.0826979,0.0345012,0.102144,-0.178684,-0.0676039,-0.22541,0.20218,-0.223485,-0.0298051,-0.0787753,-0.0398628,0.0357672,0.221687,0.01465,-0.0802354,0.0381641,0.0848329,-0.0140167,0.255576,-0.00377157,-0.0281471,-0.0632677,0.131439,0.136868,-0.217298,-0.0821394,0.190129,-0.198268,-0.0950803,0.173936,0.364017,0.136029,0.147388,-0.126838,-0.0572724,-0.260793,0.163658,0.00803688,0.0711939,0.0049855
sichuan	0.0333241,-0.0035672,0.163617,-0.0293839,-0.0917469,0.100763,-0.0766262,0.0294594,0.0217571,0.0476164,-0.173702,0.00844743,0.206817,0.100196,-0.174095,0.333664,0.122353,0.131475,-0.141177,0.410082,0.0476438,-0.0175967,-0.0333851,-0.00605268,0.0831295,-0.109531,0.0213211,0.0347759,0.0649927,0.154818,0.298287,0.0336387,-0.03897,0.044895,-0.07946,0.0351455,0.139472,-0.0875462,-0.25462,-0.211407,0.185926,-0.361554,0.0321225,0.0382323,0.0815572,-0.0477303,0.0927142,-0.0756819,-0.108539,0.0706924
asian	-0.0352293,0.0458754,-0.14154,-0.0190428,0.140965,-0.0679376,-0.16516,0.122085,0.197443,0.00133279,0.00767726,0.114516,-0.0786593,-0.109113,-0.170078,0.143229,0.0818722,0.119126,-0.246611,0.209287,0.18104,-0.0572748,0.164628,0.125189,0.221469,-0.23864,-0.012617,0.0491881,0.119128,-0.160097,-0.073582,0.108057,0.133567,0.0989372,-0.0971678,-0.126344,-0.197845,0.0992102,-0.142258,-0.18766,0.203422,-0.274617,0.104479,-0.199131,-0.166406,0.077101,0.129461,-0.0439209,0.118561,-0.169843
bucatini	-0.41874,-0.125479,-0.147609,0.0517407,0.098837,-0.120022,-0.138799,0.00526134,-0.138569,0.133678,-0.106306,0.066872,0.0540988,-0.0949997,-0.0594923,0.19711,0.0155235,-0.148265,0.144251,-0.0898764,-0.110339,0.19015,-0.172959,0.189308,0.0552536,0.2046,-0.173759,-0.00097531,-0.0245686,-0.211648,0.01651,0.0512929,0.0185024,0.369035,-0.114183,0.00104914,-0.0954491,-0.0236987,0.0664446,0.0588818,0.301773,0.13159,-0.05585,-0.0264252,0.12332,0.0978311,-0.161614,0.113762,0.0400092,0.0206424
orecchiett	-0.455754,-0.106917,-0.036812,-0.033731,0.0845736,-0.0790001,-0.236825,-0.173403,-0.179883,-0.0481254,-0.14234,-0.03117,0.154761,-0.0618583,0.0909084,0.224046,0.10728,-0.0947118,0.1774,-0.0650279,-0.176261,0.0362032,-0.0905921,0.0257279,0.100313,0.253752,-0.0840092,-0.126564,-0.0917454,-0.225848,0.0608903,0.115935,0.108157,0.2479,-0.00777001,-0.0347678,-0.0949438,0.0323585,0.0166641,0.0926102,0.224903,-0.0770684,-0.202159,0.0866585,0.0220474,-0.131571,-0.100395,0.189663,0.0431311,-0.0346166
pancetta	-0.329416,-0.118435,-0.0532216,0.0445875,0.250468,-0.163709,0.00595699,-0.0987975,-0.117398,0.0652396,-0.239032,0.121699,0.171772,-0.0882513,0.189159,0.20597,0.0184046,0.0365178,0.0775826,-0.199197,-0.0328015,0.189881,-0.0718907,-0.123209,-0.132835,0.06937,-0.051033,-0.227548,0.0903341,-0.227644,-0.137956,0.16923,-0.027583,0.232675,0.141604,-0.0797103,0.0183025,0.00304891,0.0401648,-0.033482,0.200089,-0.0575231,-0.0420777,0.241524,0.199351,0.057226,-0.158032,-0.0411968,0.134819,-0.0527691
deli	0.0135008,-0.0532307,0.0441805,0.187412,0.208091,0.100752,-0.174784,0.113008,-0.109617,-0.0465735,-0.219166,-0.0238594,-0.281641,0.0269726,0.119557,-0.148238,-0.193186,0.056921,0.0185758,0.0281387,-0.0130362,0.0932234,0.011445,-0.120236,0.10645,-0.0382831,-0.156811,-0.127271,0.0990669,0.202962,-0.0696122,-0.126604,-0.121191,0.0399035,0.0815242,0.12516,0.273234,0.152848,0.266514,-0.314223,0.00462992,0.174584,-0.160174,-0.00771167,-0.190712,0.00738977,0.148887,0.159715,-0.0262498,-0.214554
rise	0.203887,0.0149244,-0.127431,-0.0355176,0.369252,-0.108641,0.00500316,0.0729028,-0.0410183,-0.0251834,-0.190065,-0.201453,-0.200653,0.25889,-0.0241917,0.0232346,-0.0670518,-0.0440128,-0.155928,-0.0488669,-0.145193,-0.224241,0.0616594,0.0849187,0.236019,-0.0949856,-0.0564362,0.0074512,-0.0180624,-0.136242,0.00576032,-0.144528,-0.176739,0.076592,-0.224055,0.142787,-0.225383,-0.0532516,0.231779,0.0665932,-0.124334,0.150082,-0.0165585,-0.181652,-0.0405793,0.210519,-0.108586,-0.111965,0.0576398,0.110185
furikak	0.0745314,-0.230366,0.276842,-0.170642,-0.336766,-0.0235059,-0.0147627,0.0767573,-0.0369834,0.0645862,0.289906,-0.16177,0.0895283,-0.01378,0.140946,0.227674,0.0443866,0.0832297,-0.0670073,0.110281,0.206543,0.0197915,0.0151068,0.20012,0.159982,-0.124694,-0.0260305,-0.12137,-0.048142,-0.0557152,0.118196,-0.280664,-0.130213,0.107816,0.0491649,0.077949,-0.043032,-0.0727523,-0.159737,-0.123648,0.0474303,0.183178,-0.111978,0.0556775,-0.00838733,0.0729824,-0.00468629,0.174976,0.0845079,-0.276854
jack	-0.0804739,0.27506,0.0196112,0.329065,0.00265269,0.102332,0.124121,0.0338084,-0.14461,-0.066201,-0.0543506,-0.00956506,-0.198023,0.082549,-0.115394,-0.156015,-0.0976471,-0.195875,0.0618761,-0.0201685,0.124358,-0.00188086,0.132355,0.200506,0.0245082,-0.196788,0.149641,-0.0948133,-0.110773,0.397354,-0.000869038,0.076424,-0.0390481,-0.182403,-0.0255122,-0.0564151,0.149778,-0.224055,0.182884,-0.0155743,0.133774,-0.0840095,0.0892905,0.210989,0.0615333,-0.179168,-0.157631,0.101803,-0.0411095,-0.0540719
mediumgrain	0.095929,0.0706006,0.185691,-0.0793335,-0.223958,-0.0395099,0.138339,-0.236934,-0.0947722,0.104119,-0.00834618,-0.185451,0.0740054,-0.0456636,0.239723,0.00878643,-0.236012,0.202546,-0.0422343,0.171391,0.24433,-0.0929426,0.0698509,0.0724321,0.0297996,-0.174427,-0.153277,-0.199952,-0.0896219,-0.0542758,0.0811335,-0.138206,0.088017,0.273835,-0.230645,0.117632,0.0752511,0.242766,-0.0730865,0.0693438,0.0511685,0.0234529,-0.0454947,0.112429,0.229703,0.0706125,0.0356218,0.06953,0.204877,-0.112417
four	-0.267648,0.156982,0.18726,-0.0826265,0.0405147,1.23557e-05,-0.0933728,0.0619721,-0.12297,0.00686129,0.0499866,-0.125823,-0.277309,-0.100942,-0.104558,0.222925,0.00776657,-0.0964774,-0.0529664,-0.0967623,-0.120147,-0.126048,0.0330978,0.0340699,-0.0876353,0.0253012,0.019442,0.0499187,-0.0613329,0.172844,-0.119275,-0.178772,-0.0218111,-0.111235,-0.10359,0.158532,0.201821,-0.233379,0.269483,0.0932292,-0.218047,0.0618136,-0.066059,-0.0971469,-0.104129,-0.26018,0.0653186,0.296577,0.0939852,-0.226492
tangerin	0.0320109,-0.330774,0.05777,-0.131294,0.0148906,-0.0980223,0.101314,-0.000319986,0.269526,-0.239744,-0.0247261,0.0996943,-0.0092482,-0.0774429,-0.331768,0.217521,-0.036763,0.120804,-0.0748786,0.132959,0.0919166,-0.0427523,-0.0626775,0.0131439,0.0761867,0.0368148,0.156981,-0.143455,-0.0804589,-0.316956,-0.0345175,0.170838,-0.231958,-0.135817,-0.0568908,-0.0243024,-0.0202172,0.172977,0.138137,0.0890375,0.106806,0.050459,0.162044,-0.160976,-0.112626,0.150029,-0.197682,-0.0471153,-0.0303706,-0.156512
